,Codigo,Memoria Ram,Fecha,Precio,Almacenamiento,Nombre,Modelo,Procesador
754,MPM00033460038,24GB,2021-09-30,799990,Almacenamiento no especificado,"NOTEBOOK DELL LATITUDE 7490 14”, CORE I5, 24GB RAM, 256GB SSD - REACONDICIONADO",Latitude 7490,Procesador no especificado
755,MPM00033460068,32GB,2021-09-30,849990,Almacenamiento no especificado,"NOTEBOOK DELL LATITUDE 7490 14”, CORE I5, 32GB RAM, 256GB SSD - REACONDICIONADO",Latitude 7490,Procesador no especificado
756,2485019,4GB,2021-09-30,329990,128 GB SSD,NOTEBOOK HP 14-CF2087LA / INTEL® CELERON® N4020 / 4GB RAM / 128GB SSD / 14,HP 14-CF2087LA,Intel Celeron
757,MPM00031469464,Memoria Ram no especificada,2021-09-30,1119990,Almacenamiento no especificado,NOTEBOOK YOGA 7I CORE I5 11VA GEN 12GB RAM 512GB SSD + LÁPIZ,Yoga 7 14ITL5,Procesador no especificado
758,MPM00031774284,Memoria Ram no especificada,2021-09-30,339990,Almacenamiento no especificado,"HEROBOOK PRO INTEL CELERON/ 8GB/ 256GB SSD/ 14,1'/ W10",Herobook Pro,Procesador no especificado
759,2497065,Memoria Ram no especificada,2021-09-30,409990,Almacenamiento no especificado,"NOTEBOOK LENOVO IDEAPAD 3 14IIL05 I3, 4GB, 128GB SSD",Ideapad 3 14iil05,Procesador no especificado
760,2497067,Memoria Ram no especificada,2021-09-30,309990,Almacenamiento no especificado,LENOVO IDEAPAD S145 INTEL® CELERON® N4000 4GB RAM 500GB INTEGRADA 14,Ideapad S145,Procesador no especificado
761,MPM00032146800,8GB,2021-09-30,484990,500 GB,NOTEBOOK HP PROBOOK 640 G1 14” I5 8GB 500GB REACONDICIONADO GRADO A,640 G1,Intel Core i5
762,2234472,8GB,2021-09-30,539000,1 TB,NOTEBOOK HP 240 G8 I3-1005 8GB 1TB WIN10H,2K2P2LT-M,Intel Core i3
763,2234475,4GB,2021-09-30,299990,500 GB,NOTEBOK HP 240 CELERON N4020 4GB 500GB SIN SISTEMA OPERATIVO,1D0F9LT,Intel Celeron
764,MPM00026886020,8GB,2021-09-30,899990,Almacenamiento no especificado,"HP NOTEBOOK PAVILION GAMING / AMD RYZEN™ 5 / 8GB RAM / 256GB SSD / NVIDIA® GEFORCE® GTX 1650 /15,6'",15-EC1026LA,Procesador no especificado
765,2267378,4GB,2021-09-30,427990,1 TB,"NOTEBOOK DELL VOSTRO 3401, I3 1005G1, RAM 4GB, 1TB HDD, 14 HD, SIN SISTEMA OPERATIVO",HPXY3,Intel Core i3
766,2317902,8GB,2021-09-30,779990,512 GB SSD,LENOVO YOGA C740 / INTEL I5 / 8GB RAM / 512GB SSD / 32GB OPTANE / 15.6' FHD TACTIL / CONVERTIBLE 2 EN 1,81TD0078US,Intel Core i5
767,2321495,16GB,2021-09-30,1910990,1 TB SSD,NOTEBOOK DELL LATITUDE 7320 2IN1 13.3” TOUCH I7-1165G7 16GB 1TB SSD W10PRO GARANTÍA 3 AÑOS PROSUPPORT PLUS,Latitude 7320 2in1,Intel Core i7
